#Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-41.23286774631387,0,-51.63788555975205,180
2.44140625,-41.54600335910722,179.7999406705546,-51.95683282015929,0.7430035344126293
4.8828125,-45.09392862662989,179.4973606058059,-55.53028070639069,2.125628094404725
7.32421875,-55.82501157149706,177.8957271569652,-66.22215280395426,8.411141125719411
9.765625,-82.80963710926081,130.3844639744081,-83.95809195553025,63.08930410394449
12.20703125,-81.30233134660895,26.19737389845015,-89.81045604675296,68.3632919015341
14.6484375,-81.78597236419361,13.85042119856477,-94.38562990703672,22.85378785121232
17.08984375,-81.11717898853136,14.38178522437767,-99.08429744549963,80.7245821555435
19.53125,-79.81990710880714,25.09789522097709,-87.4616776286037,35.10400651461248
21.97265625,-79.28700900654277,37.93421124671306,-84.92802793340934,25.65442079140918
24.4140625,-80.17566527408718,50.07058551738609,-85.3626727451163,18.81674521747226
26.85546875,-81.29200633289759,56.56642547128604,-86.72865345618673,8.728984888640509
29.296875,-80.87722861025486,54.15676159748214,-86.8111627420466,177.6757980125807
31.73828125,-82.15019993830188,39.95059560295257,-84.16817668032756,179.1689159838556
34.1796875,-84.33831431153918,14.2291125705589,-82.04810390523684,0.5389886839510385
36.62109375,-87.48170420648353,175.9236411552867,-81.52983792540601,1.119057329253202
39.0625,-89.36357919414493,118.729203628414,-81.4113839439829,6.46805264706642
41.50390625,-85.89298342367029,81.20278326537758,-82.46677150173079,14.12177534062658
43.9453125,-85.03693219896411,59.24839898288379,-83.76381399397437,31.20930749318579
46.38671875,-84.73291422342822,59.67586924091783,-83.11992701660387,42.69340761341531
48.828125,-83.80839137959478,73.885135060209,-84.76261032564808,46.14048714955048
51.26953125,-81.84039441904959,81.48339791081125,-85.80228182096688,66.05696555279275
53.7109375,-80.7101767525821,80.80485169028937,-84.27654363793749,79.34852364137892
56.15234375,-81.93788387175684,73.8663086694182,-86.34877857495327,87.2396404969607
58.59375,-85.95785186543347,68.93190756273751,-89.00495548250228,93.37961269684459
61.03515625,-88.97505603119416,52.66914893402825,-89.70542592060372,84.63982755421091
63.4765625,-86.4665358581392,40.01696588152126,-92.63340854256538,60.11991352446357
65.91796875,-84.68109066752112,49.26090307907864,-94.2966644125368,8.063329850250524
68.359375,-81.29420701167444,58.71835290219781,-95.11351837848781,146.6515736389244
70.80078125,-79.20382962473256,64.26280954868467,-99.60272362314014,99.41104638089746
73.2421875,-80.25020865656374,69.22652843211083,-93.00117714385168,92.19270267292185
75.68359375,-81.70312668030172,69.94511171136348,-86.84232278846426,94.02827976949358
78.125,-83.33294800262074,75.96718616550388,-87.79500695924381,75.58279481997235
80.56640625,-87.68768831258691,90.89602573295012,-89.8504526484478,44.75173577816077
83.0078125,-94.09518993364389,108.9403145252401,-90.25045679182008,6.83122296871676
