#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D979
#Date Time: 2023-04-20 15:52:30.063
#Sample rate: 1.20482e+06Hz
#Samples: 8192
#Trigger: Source: Wavegen C1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 50 mV/div Offset: 5 mV Attenuation: 1 X Sample Mode: Average
#Ref 1: Range: 500 mV/div Offset: 0 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1.9 kHz
#Period: 526.315789 us
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#Time (s),Channel 1 (V),Channel 2 (V),Ref 1 (V)
-0.004377273360995851,1.311965927363232,0.1092204314219194,-0.474757763545493
-0.00437644336099585,1.305208273464181,0.1088841235003613,-0.4784744731899694
-0.004375613360995851,1.295747558005516,0.1078751997356886,-0.4801638866647311
-0.004374783360995851,1.287638373326654,0.1088841235003619,-0.4818533001394949
-0.004373953360995851,1.282570132902371,0.1092204314219194,-0.4848942443940644
-0.004373123360995851,1.274460948223509,0.1088841235003618,-0.4859078924789233
-0.004372293360995851,1.262972936595125,0.1092204314219195,-0.4848942443940658
-0.00437146336099585,1.25993199234055,0.107875199735688,-0.4875973059536872
-0.004370633360995851,1.253174338441503,0.1065299680494576,-0.4909761329032105
-0.004369803360995851,1.241686326813119,0.1072025838925731,-0.4919897809880679
-0.004368973360995851,1.231887728659501,0.1055210442847852,-0.4946928425476866
-0.004368143360995851,1.222427013200831,0.105857352206342,-0.4960443733274971
-0.004367313360995851,1.21871030355635,0.1058573522063422,-0.4957064906325453
-0.00436648336099585,1.208911705402723,0.1051847363632265,-0.4960443733274982
-0.00436565336099585,1.198099459164236,0.1048484284416683,-0.4970580214123577
-0.004364823360995851,1.184922034061102,0.1041758125985535,-0.4997610829719751
-0.004363993360995851,1.173771905127675,0.1028305809123232,-0.5004368483618797
-0.004363163360995851,1.170055195483194,0.1021579650692074,-0.5014504964467371
-0.004362333360995851,1.156539887685093,0.1014853492260916,-0.5034777926164524
-0.00436150336099585,1.151133764565846,0.1001401175398599,-0.5028020272265473
-0.00436067336099585,1.134577512513179,0.09845857793207212,-0.5024641445315957
-0.004359843360995851,1.12883350669899,0.09879488585362972,-0.5041535580063574
-0.004359013360995851,1.117683377765568,0.09812227001051485,-0.5051672060912139
-0.004358183360995851,1.104168069967465,0.09644073040272634,-0.5058429714811195
-0.004357353360995851,1.094369471813836,0.09543180663805237,-0.5068566195659773
-0.004356523360995851,1.083557225575357,0.09442288287337916,-0.5068566195659773
-0.00435569336099585,1.072744979336872,0.09240503534403305,-0.5082081503457883
-0.004354863360995851,1.060581202318588,0.09307765118714822,-0.5105733292104545
-0.004354033360995851,1.051458369554871,0.09072349573624405,-0.5105733292104545
-0.004353203360995851,1.034564234807255,0.0897145719715713,-0.5122627426852162
-0.004352373360995851,1.019359513534385,0.08836934028533991,-0.5126006253801695
-0.004351543360995851,1.009223032685811,0.0873604165206667,-0.5142900388549319
-0.00435071336099585,0.9987486691422798,0.08534256899131921,-0.5136142734650275
-0.00434988336099585,0.9896258363785604,0.08298841354041522,-0.5149658042448377
-0.004349053360995851,0.9825302997845647,0.08197948977574293,-0.5159794523296942
-0.004348223360995851,0.9568512149681877,0.08029795016795503,-0.5163173350246466
-0.004347393360995851,0.9494177956792248,0.07962533432483909,-0.5163173350246467
-0.004346563360995851,0.9345509571013122,0.07794379471705012,-0.5149658042448368
-0.00434573336099585,0.9136022300142507,0.07626225510926052,-0.5166552177195984
-0.00434490336099585,0.8967080952666274,0.07424440757991425,-0.514965804244838
-0.004344073360995851,0.881841256688725,0.07256286797212635,-0.5173309831095042
-0.004343243360995851,0.8730563066199685,0.07088132836433919,-0.5183446311943607
-0.004342413360995851,0.855148523787487,0.06919978875654977,-0.518682513889314
-0.004341583360995851,0.8517696968379541,0.06718194122720259,-0.5173309831095042
-0.004340753360995851,0.8379165063448963,0.06482778577629798,-0.5173309831095049
-0.00433992336099585,0.8247390812417468,0.06381886201162493,-0.5186825138893142
-0.004339093360995851,0.8058176503244164,0.06314624616850975,-0.5190203965842666
-0.004338263360995851,0.7821658616777427,0.05978316695293239,-0.5169931004145517
-0.004337433360995851,0.7679747884897449,0.0577653194235869,-0.5163173350246471
-0.004336603360995851,0.757162542251259,0.05642008773735505,-0.5159794523296942
-0.004335773360995851,0.7355380497743002,0.05272070060021995,-0.5136142734650269
-0.00433494336099585,0.7179681496367659,0.05103916099243051,-0.5142900388549317
-0.004334113360995851,0.7068180207033443,0.04935762138464336,-0.5139521561599795
-0.004333283360995851,0.6895860032607626,0.04801238969841166,-0.512262742685217
-0.004332453360995851,0.6639069184443855,0.04565823424750858,-0.512262742685217
-0.004331623360995851,0.6591765607150413,0.04263146295348926,-0.5126006253801694
-0.004330793360995851,0.6395793644077952,0.04094992334569921,-0.510235446515502
-0.00432996336099585,0.6169412238459707,0.03960469165946705,-0.5092217984306427
-0.00432913336099585,0.5990334410134761,0.03691422828700363,-0.5051672060912155
-0.004328303360995851,0.575719535061776,0.03388745699298677,-0.5058429714811198
-0.004327473360995851,0.5608526964838804,0.03186960946364219,-0.5051672060912155
-0.004326643360995851,0.550716215635297,0.02985176193429485,-0.5038156753114056
-0.004325813360995851,0.5338220808876682,0.028506530248063,-0.5044914407013099
