#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D979
#Date Time: 2023-04-20 14:52:00.448
#Sample rate: 1.20482e+06Hz
#Samples: 8192
#Trigger: Source: Wavegen C1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Ref 1: Range: 500 mV/div Offset: 0 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1.9 kHz
#Period: 526.315789 us
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#Time (s),Channel 1 (V),Channel 2 (V),Ref 1 (V)
-0.004377273360995851,1.650862270400572,1.055777331417741,-0.474757763545493
-0.00437644336099585,1.645118264586382,1.057458871025529,-0.4784744731899694
-0.004375613360995851,1.645118264586382,1.057122563103971,-0.4801638866647311
-0.004374783360995851,1.636333314517617,1.059140410633319,-0.4818533001394949
-0.004373953360995851,1.633630252957999,1.061158258162663,-0.4848942443940644
-0.004373123360995851,1.629237777923616,1.063176105692011,-0.4859078924789233
-0.004372293360995851,1.627886247143806,1.062839797770453,-0.4848942443940658
-0.00437146336099585,1.624169537499327,1.063512413613569,-0.4875973059536872
-0.004370633360995851,1.620114945159899,1.064857645299799,-0.4909761329032105
-0.004369803360995851,1.610992112396182,1.067211800750703,-0.4919897809880679
-0.004368973360995851,1.608964816226468,1.069565956201606,-0.4946928425476866
-0.004368143360995851,1.605248106581991,1.07057487996628,-0.4960443733274971
-0.004367313360995851,1.601869279632465,1.070574879966281,-0.4957064906325453
-0.00436648336099585,1.597814687293032,1.072929035417185,-0.4960443733274982
-0.00436565336099585,1.591057033393981,1.07393795918186,-0.4970580214123577
-0.004364823360995851,1.586664558359603,1.076292114632762,-0.4997610829719751
-0.004363993360995851,1.581934200630271,1.077301038397435,-0.5004368483618797
-0.004363163360995851,1.581258435240364,1.077301038397436,-0.5014504964467371
-0.004362333360995851,1.570446189001884,1.081673041377686,-0.5034777926164524
-0.00436150336099585,1.566391596662453,1.083354580985475,-0.5028020272265473
-0.00436067336099585,1.563012769712927,1.084027196828591,-0.5024641445315957
-0.004359843360995851,1.556930881203785,1.086381352279495,-0.5041535580063574
-0.004359013360995851,1.552538406169406,1.087390276044167,-0.5051672060912139
-0.004358183360995851,1.543077690710737,1.090080739416628,-0.5058429714811195
-0.004357353360995851,1.537333684896541,1.092098586945976,-0.5068566195659773
-0.004356523360995851,1.535644271421778,1.092098586945976,-0.5068566195659773
