0	0.000000	0.000000	0.00
1	0.000734	-0.000257	25.53
2	0.001403	-0.000679	60.07
3	0.002118	-0.000931	97.42
4	0.003643	-0.001510	169.37
5	0.005162	-0.002180	261.19
6	0.006267	-0.002880	337.55
7	0.007592	-0.003587	404.23
8	0.010277	-0.005053	508.61
9	0.012209	-0.005925	588.85
10	0.014781	-0.007090	683.24
11	0.020627	-0.010820	750.52
12	0.025060	-0.012236	791.23
13	0.030697	-0.014742	845.69
14	0.036350	-0.018089	893.17
15	0.041854	-0.021987	933.43
16	0.048544	-0.024783	965.65
17	0.055879	-0.027634	991.44
18	0.063329	-0.030856	1011.63
19	0.070198	-0.034890	1026.62
20	0.080332	-0.038594	1035.57
21	0.090281	-0.042728	1040.17
22	0.099443	-0.047734	1041.82
23	0.111547	-0.052293	1041.49
24	0.123500	-0.056994	1038.72
25	0.135573	-0.062451	1033.40
26	0.149483	-0.067301	1026.49
27	0.164953	-0.073199	1019.78
28	0.178426	-0.078752	1012.29
29	0.193813	-0.084881	1003.41
30	0.213105	-0.090717	993.61
31	0.230431	-0.097791	983.61
32	0.250307	-0.103591	974.34
33	0.270535	-0.110445	964.08
34	0.292365	-0.116910	953.16
35	0.314262	-0.124280	942.11
36	0.339417	-0.131211	930.99
37	0.364924	-0.138305	920.14
38	0.390454	-0.145439	908.70
39	0.420866	-0.153648	896.92
40	0.449872	-0.160050	885.48
41	0.482429	-0.167274	874.30
42	0.515068	-0.174915	863.25
43	0.549899	-0.181748	851.94
44	0.585561	-0.188823	840.56
45	0.624446	-0.196198	829.84
46	0.659678	-0.203356	819.71
47	0.696742	-0.210142	809.71
48	0.736959	-0.216399	799.52
49	0.780050	-0.222430	789.98
50	0.823611	-0.228448	781.04
51	0.864544	-0.234353	772.81
52	0.907868	-0.240246	764.13
53	0.948646	-0.245974	755.91
54	0.993675	-0.251413	748.74
55	1.035408	-0.257219	741.90
56	1.082477	-0.261170	735.33
57	1.126020	-0.266364	728.49
58	1.170567	-0.270124	722.43
59	1.213291	-0.275487	717.11
60	1.258126	-0.280510	712.24
61	1.299582	-0.284224	706.85
62	1.344811	-0.288262	701.91
63	1.387983	-0.292382	697.64
64	1.434358	-0.295991	694.22
65	1.478509	-0.299315	690.40
66	1.521013	-0.302934	686.39
67	1.563636	-0.306430	683.17
68	1.606381	-0.310107	680.21
69	1.649838	-0.313752	677.78
70	1.694814	-0.316349	674.82
71	1.738185	-0.319849	671.92
72	1.781185	-0.322807	669.75
