#Time (s),Channel 1 (V),Channel 2 (V)
-0.005118875,-0.338591037479641,-2.286604229927402
-0.005117625,-0.3369016240048786,-2.283577458633382
-0.005116374999999999,-0.3348743278351619,-2.281559611104034
-0.005115125,-0.3308197354957339,-2.277523916045343
-0.005113874999999999,-0.3271030258512566,-2.276178684359112
-0.005112625,-0.3237241989017318,-2.27348822098665
-0.005111375,-0.3216969027320169,-2.270797757614188
-0.005110125,-0.3193317238673506,-2.268107294241728
-0.005108875,-0.3149392488329673,-2.265416830869264
-0.005107624999999999,-0.3118983045783935,-2.264071599183032
-0.005106375,-0.3088573603238225,-2.260035904124341
-0.005105124999999999,-0.304802767984392,-2.25700913283032
-0.005103875,-0.3031133545096303,-2.255327593222532
-0.005102625,-0.3020997064247729,-2.254318669457859
-0.005101375,-0.2987208794752481,-2.251291898163839
-0.005100125,-0.2943284044408658,-2.248265126869819
-0.005098875,-0.2912874601862949,-2.245238355575801
-0.005097625,-0.2868949851519112,-2.24221158428178
-0.005096374999999999,-0.28419192359229,-2.239857428830875
-0.005095125,-0.281150979337719,-2.236830657536857
-0.005093874999999999,-0.2777721523881926,-2.235149117929067
-0.005092625,-0.2743933254386693,-2.231786038713491
-0.005091375,-0.2703387330992396,-2.227077727811682
-0.005090125,-0.2689872023194302,-2.22606880404701
-0.005088875,-0.2652704926749523,-2.22304203275299
-0.005087625,-0.2605401349456198,-2.219678953537414
-0.005086375,-0.2588507214708552,-2.218333721851181
-0.005085124999999999,-0.2551340118263766,-2.214298026792488
-0.005083875,-0.252430950266758,-2.212280179263142
-0.005082624999999999,-0.2477005925374233,-2.208917100047564
-0.005081375,-0.2446596482828509,-2.204545097067314
-0.005080125,-0.2402671732484687,-2.202527249537968
-0.005078875,-0.2368883462989454,-2.20084570993018
-0.005077625,-0.2338474020443715,-2.197482630714601
-0.005076375,-0.2297928097049435,-2.193446935655911
-0.005075125,-0.2270897481453218,-2.190756472283447
-0.005073874999999999,-0.2230351558058907,-2.187729700989426
-0.005072625,-0.2199942115513197,-2.18436662177385
-0.005071374999999999,-0.2169532672967474,-2.182685082166061
-0.005070125,-0.2128986749573176,-2.178985695028926
-0.005068875,-0.2095198480077928,-2.175622615813349
-0.005067625,-0.2047894902784602,-2.17259584451933
-0.005066375,-0.2017485460238857,-2.169232765303752
-0.005065124999999999,-0.1980318363794065,-2.166542301931288
-0.005063875,-0.1939772440399786,-2.162842914794155
-0.005062624999999999,-0.1909362997854053,-2.159816143500134
-0.005061375,-0.1889090036156914,-2.158134603892346
-0.005060125,-0.1848544112762616,-2.155780448441442
-0.005058875,-0.1807998189368318,-2.151744753382749
-0.005057625,-0.1770831092923545,-2.149390597931845
-0.005056375,-0.1716769861731172,-2.144009671186924
-0.005055125,-0.1699875726983523,-2.140982899892902
-0.005053874999999999,-0.1679602765286348,-2.139637668206669
-0.005052625,-0.1622162707144452,-2.135601973147978
-0.005051374999999999,-0.1581616783750138,-2.131566278089284
-0.005050125,-0.1544449687305381,-2.128875814716824
-0.005048875,-0.1500524936961559,-2.124503811736573
-0.005047625,-0.1466736667466326,-2.122485964207228
-0.005046375,-0.1436327224920587,-2.118786577070091
