#Time (s),Channel 1 (V),Channel 2 (V)
-0.00504554347826087,-0.2814888620326756,-2.303419626005292
-0.005044293478260869,-0.2747312081336218,-2.298038699260364
-0.005043043478260869,-0.2686493196244727,-2.291648848750764
-0.005041793478260869,-0.2588507214708552,-2.284250074476498
-0.005040543478260869,-0.2514173021819006,-2.277523916045343
-0.00503929347826087,-0.2446596482828509,-2.271806681378861
-0.005038043478260869,-0.2362125809090389,-2.265753138790822
-0.00503679347826087,-0.22911704431504,-2.25768174867344
-0.005035543478260869,-0.2210078596361772,-2.251291898163839
-0.00503429347826087,-0.2135744403472259,-2.245574663497361
-0.005033043478260869,-0.2058031383633155,-2.236494349615299
-0.005031793478260869,-0.1976939536844522,-2.230777114948814
-0.005030543478260869,-0.1895847690055963,-2.223378340674547
-0.005029293478260869,-0.1818134670216892,-2.217661106008066
-0.00502804347826087,-0.1750558131226396,-2.211607563420027
-0.005026793478260869,-0.1682981592235899,-2.205890328753545
-0.00502554347826087,-0.1584995610699724,-2.197146322793048
-0.005024293478260869,-0.1510661417810133,-2.190420164361889
-0.005023043478260869,-0.1436327224920552,-2.184366621773847
-0.005021793478260869,-0.1358614205081516,-2.177640463342695
-0.005020543478260869,-0.1280901185242412,-2.169569073225306
-0.005019293478260869,-0.1206566992352899,-2.162842914794155
-0.005018043478260869,-0.1122096318614779,-2.155444140519885
-0.00501679347826087,-0.1041004471826183,-2.148381674167172
-0.005015543478260869,-0.09768067597852113,-2.142664439500691
-0.00501429347826087,-0.08855784321480827,-2.134256741461751
-0.005013043478260869,-0.08078654123089703,-2.12786689095215
-0.005011793478260869,-0.07369100463689121,-2.121140732520992
-0.005010543478260869,-0.06558181995803532,-2.114750882011398
-0.005009293478260869,-0.0571347525842205,-2.10667949189401
-0.005008043478260869,-0.05105286407507859,-2.100289641384416
-0.005006793478260869,-0.04226791400631404,-2.092890867110146
-0.00500554347826087,-0.03382084663250198,-2.086164708678991
-0.005004293478260869,-0.02537377925868993,-2.078093318561606
-0.00500304347826087,-0.01861612535964335,-2.071703468052012
-0.005001793478260869,-0.0105069406807807,-2.065649925463969
-0.005000543478260869,-0.003411404086775349,-2.057914843268138
-0.004999293478260869,0.003684132507223553,-2.051524992758544
-0.004998043478260869,0.01348273066084554,-2.042780986798043
-0.00499679347826087,0.02361921150942001,-2.0343732887591
-0.004995543478260869,0.03003898271351717,-2.028319746171061
-0.00499429347826087,0.03612087122265909,-2.021593587739909
-0.004993043478260869,0.04456793859647391,-2.015203737230309
-0.00499179347826087,0.05132559249552048,-2.008813886720715
-0.004990543478260869,0.05977265986933561,-2.001751420368
-0.004989293478260869,0.06754396185324654,-1.993343722329053
-0.004988043478260869,0.07599102922705477,-1.986617563897901
-0.004986793478260869,0.08410021390591434,-1.978546173780516
-0.00498554347826087,0.09288516397467887,-1.971147399506246
-0.004984293478260869,0.09896705248382355,-1.965766472761322
-0.00498304347826087,0.1080898852475364,-1.957022466800825
-0.004981793478260869,0.1141717737566853,-1.950632616291224
-0.004980543478260869,0.1226188411305013,-1.942897534095393
-0.004979293478260869,0.1314037911992619,-1.936171375664241
-0.004978043478260869,0.1374856797084112,-1.930117833076198
-0.004976793478260869,0.147622160556981,-1.922382750880374
-0.004975543478260869,0.1533661663711732,-1.915656592449219
-0.00497429347826087,0.1618132337449853,-1.906239970645603
-0.004973043478260869,0.1702603011187973,-1.900522735979121
-0.00497179347826087,0.1763421896279392,-1.8951418092342
-0.004970543478260869,0.185465022391659,-1.886734111195254
-0.004969293478260869,0.193574207070522,-1.878662721077866
-0.004968043478260869,0.2010076263594732,-1.872609178489829
-0.004966793478260869,0.2067516321736699,-1.866219327980229
-0.004965543478260869,0.2165502303272874,-1.858484245784404
-0.004964293478260869,0.2243215323111945,-1.852094395274807
-0.00496304347826087,0.2297276554304342,-1.844695621000537
-0.004961793478260869,0.2405399016689136,-1.836287922961594
-0.00496054347826087,0.2462839074831032,-1.828889148687327
-0.004959293478260869,0.2537173267720604,-1.824180837785515
-0.004958043478260869,0.2618265114509241,-1.817118371432799
-0.004956793478260869,0.2706114615196846,-1.808374365472302
-0.004955543478260869,0.2763554673338768,-1.802993438727378
-0.00495429347826087,0.2827752385379739,-1.796267280296223
-0.004953043478260869,0.2925738366915959,-1.788868506021953
-0.00495179347826087,0.2993314905906425,-1.781469731747686
-0.004950543478260869,0.3064270271846477,-1.774070957473413
-0.00494929347826087,0.3141983291685512,-1.768353722806934
-0.004948043478260869,0.3226453965423668,-1.760618640611103
-0.004946793478260869,0.3297409331363718,-1.754565098023061
-0.004945543478260869,0.3358228216455136,-1.748847863356582
-0.004944293478260869,0.3425804755445633,-1.742458012846986
-0.00494304347826087,0.3520411910032328,-1.733041391043369
-0.004941793478260869,0.3594746102921874,-1.726651540533772
-0.00494054347826087,0.3665701468861863,-1.719589074181063
-0.004939293478260869,0.3726520353953342,-1.71353553159302
-0.00493804347826087,0.3810991027691424,-1.706473065240311
-0.004936793478260869,0.3885325220581009,-1.699074290966037
-0.004935543478260869,0.3959659413470585,-1.694365980064226
-0.004934293478260869,0.4027235952461051,-1.687303513711517
-0.004933043478260869,0.4094812491451548,-1.679904739437247
-0.00493179347826087,0.4155631376542995,-1.674523812692323
-0.004930543478260869,0.4240102050281115,-1.666452422574937
-0.00492929347826087,0.4321193897069674,-1.659726264143786
-0.004928043478260869,0.4382012782161158,-1.653000105712628
-0.004926793478260869,0.4442831667252646,-1.648291794810816
-0.004925543478260869,0.4534059994889775,-1.639884096771876
-0.004924293478260869,0.4591500053031729,-1.634839477948507
-0.004923043478260869,0.4662455418971718,-1.628449627438913
-0.004921793478260869,0.473341078491174,-1.621050853164643
-0.00492054347826087,0.4807744977801285,-1.614324694733488
-0.004919293478260869,0.4878700343741307,-1.608607460067007
-0.00491804347826087,0.4942898055782249,-1.603562841243643
-0.004916793478260869,0.5003716940873725,-1.595827759047813
-0.004915543478260869,0.5067914652914726,-1.589101600616656
-0.004914293478260869,0.5132112364955668,-1.583720673871734
-0.004913043478260869,0.5206446557845239,-1.57665820751902
-0.00491179347826087,0.5260507789037612,-1.571949896617214
-0.004910543478260869,0.5351736116674781,-1.565560046107617
-0.00490929347826087,0.5409176174816677,-1.558833887676465
-0.004908043478260869,0.5466616232958625,-1.55311665300998
-0.00490679347826087,0.5554465733646231,-1.546054186657271
-0.004905543478260869,0.5608526964838668,-1.539664336147671
-0.004904293478260869,0.5659209369081571,-1.53630125693209
-0.004903043478260869,0.5726785908072037,-1.528229866814708
-0.004901793478260869,0.5794362447062533,-1.522512632148227
-0.00490054347826087,0.5865317813002555,-1.51612278163863
-0.004899293478260869,0.5936273178942576,-1.510741854893706
-0.00489804347826087,0.5997092064033995,-1.505697236070342
-0.004896793478260869,0.6061289776074994,-1.498971077639185
-0.00489554347826087,0.6108593353368321,-1.493926458815821
-0.004894293478260869,0.6182927546257888,-1.487200300384664
-0.004893043478260869,0.6233609950500789,-1.481819373639738
-0.004891793478260869,0.6297807662541732,-1.476774754816375
-0.004890543478260869,0.6351868893734129,-1.470721212228335
-0.00488929347826087,0.6419445432724625,-1.464667669640296
-0.004888043478260869,0.6473506663917022,-1.460968282503161
-0.00488679347826087,0.6551219683756058,-1.453905816150451
-0.004885543478260869,0.6608659741898015,-1.448188581483967
-0.004884293478260869,0.665258449224187,-1.443816578503714
-0.004883043478260869,0.6720161031232335,-1.437763035915677
-0.004881793478260869,0.6774222262424753,-1.432382109170751
-0.004880543478260869,0.682152583971808,-1.428010106190503
-0.004879293478260869,0.6895860032607626,-1.42094763983779
-0.00487804347826087,0.6946542436850498,-1.41657563685754
-0.004876793478260869,0.7000603668042895,-1.412203633877289
-0.00487554347826087,0.7064801380083838,-1.40648639921081
-0.004874293478260869,0.7108726130427689,-1.402114396230557
-0.004873043478260869,0.7176302669418207,-1.395051929877842
-0.004871793478260869,0.7223606246711534,-1.390007311054479
-0.004870543478260869,0.7284425131803001,-1.385299000152669
-0.00486929347826087,0.7328349882146803,-1.381935920937093
-0.004868043478260869,0.7368895805541101,-1.3779002258784
-0.00486679347826087,0.742971469063252,-1.372519299133479
-0.004865543478260869,0.7487154748774469,-1.366129448623879
-0.00486429347826087,0.7537837153017318,-1.362766369408304
-0.004863043478260869,0.7595277211159264,-1.356376518898705
-0.004861793478260869,0.7652717269301206,-1.351331900075338
-0.004860543478260869,0.7696642019645009,-1.348305128781319
-0.004859293478260869,0.7757460904736455,-1.34225158619328
-0.00485804347826087,0.7801385655080278,-1.33787958321303
-0.004856793478260869,0.7841931578474576,-1.334180196075895
-0.00485554347826087,0.7889235155767903,-1.329471885174089
-0.004854293478260869,0.7936538733061271,-1.325099882193836
-0.00485304347826087,0.7973705829506027,-1.321064187135145
-0.004851793478260869,0.8027767060698441,-1.31702849207645
-0.004850543478260869,0.8091964772739428,-1.311311257409967
-0.004849293478260869,0.8125753042234661,-1.307611870272833
-0.004848043478260869,0.8166298965628959,-1.303576175214141
-0.00484679347826087,0.8200087235124207,-1.300213095998563
-0.004845543478260869,0.8257527293266129,-1.295504785096755
-0.00484429347826087,0.8308209697508978,-1.291132782116506
-0.004843043478260869,0.8352134447852825,-1.287769702900927
-0.004841793478260869,0.839605919819666,-1.283734007842233
-0.004840543478260869,0.8426468640742371,-1.279698312783542
-0.004839293478260869,0.8467014564136688,-1.275662617724847
-0.004838043478260869,0.8510939314480491,-1.272635846430829
-0.004836793478260869,0.8554864064824313,-1.267927535529021
-0.00483554347826087,0.8602167642117661,-1.264228148391886
-0.004834293478260869,0.8625819430764335,-1.261537685019424
-0.00483304347826087,0.8673123008057662,-1.25783829788229
-0.004831793478260869,0.8717047758401505,-1.253466294902038
-0.004830543478260869,0.8764351335694869,-1.249094291921786
-0.004829293478260869,0.8798139605190101,-1.246067520627768
-0.004828043478260869,0.882854904773584,-1.242368133490632
-0.00482679347826087,0.8862337317231073,-1.240013978039729
-0.004825543478260869,0.890964089452442,-1.236650898824151
-0.00482429347826087,0.8936671510120606,-1.232951511687018
-0.004823043478260869,0.8956944471817768,-1.232278895843901
-0.00482179347826087,0.9004248049111094,-1.227570584942095
-0.004820543478260869,0.9051551626404463,-1.224880121569631
-0.004819293478260869,0.907520341505115,-1.220508118589379
-0.004818043478260869,0.910561285759686,-1.217817655216918
-0.004816793478260869,0.9139401127092108,-1.214454576001341
-0.00481554347826087,0.9176568223536881,-1.212100420550437
-0.004814293478260869,0.9223871800830229,-1.208401033413302
-0.00481304347826087,0.9234008281678798,-1.207055801727071
-0.004811793478260869,0.9261038897275001,-1.203692722511493
-0.00481054347826087,0.9288069512871188,-1.201002259139033
-0.004809293478260869,0.9304963647618825,-1.198648103688127
-0.004808043478260869,0.9352267224912183,-1.197302872001894
-0.004806793478260869,0.9375919013558845,-1.193603484864761
-0.004805543478260869,0.9406328456104569,-1.191249329413857
-0.00480429347826087,0.9436737898650293,-1.188222558119837
-0.004803043478260869,0.9450253206448391,-1.186877326433606
-0.00480179347826087,0.9490799129842671,-1.183177939296473
-0.004800543478260869,0.9514450918489363,-1.180823783845567
-0.004799293478260869,0.9524587399337955,-1.180487475924008
-0.004798043478260869,0.9561754495782711,-1.17746070462999
-0.004796793478260869,0.9568512149681773,-1.176788088786873
-0.004795543478260869,0.9595542765277959,-1.174097625414412
-0.004794293478260869,0.9615815726975108,-1.171743469963508
-0.00479304347826087,0.9646225169520831,-1.169053006591046
-0.004791793478260869,0.9649603996470356,-1.169389314512604
-0.00479054347826087,0.9680013439016066,-1.166698851140143
-0.004789293478260869,0.9700286400713228,-1.164681003610796
-0.004788043478260869,0.9720559362410391,-1.161990540238333
-0.004786793478260869,0.9750968804956101,-1.159972692708988
-0.004785543478260869,0.9761105285804677,-1.157954845179641
-0.00478429347826087,0.97644841127542,-1.158627461022756
-0.004783043478260869,0.9788135901400874,-1.15660961349341
-0.00478179347826087,0.9811787690047536,-1.155600689728737
-0.004780543478260869,0.9815166516997073,-1.153582842199391
-0.00477929347826087,0.9828681824795166,-1.15223761051316
-0.004778043478260869,0.9848954786492321,-1.151228686748486
-0.004776793478260869,0.9859091267340897,-1.151228686748486
-0.004775543478260869,0.986247009429042,-1.149883455062255
-0.004774293478260869,0.987598540208852,-1.14921083921914
-0.00477304347826087,0.9909773671583768,-1.146520375846678
-0.004771793478260869,0.9919910152432342,-1.147529299611351
-0.00477054347826087,0.9926667806331388,-1.146184067925121
-0.004769293478260869,0.9926667806331392,-1.145511452082005
-0.00476804347826087,0.9943561941079008,-1.143829912474217
-0.004766793478260869,0.994694076802854,-1.144502528317332
-0.004765543478260869,0.9963834902776169,-1.142148372866427
-0.004764293478260869,0.9970592556675214,-1.141139449101754
-0.004763043478260869,0.996045607582664,-1.142484680787985
-0.00476179347826087,0.9970592556675214,-1.142148372866428
-0.004760543478260869,0.9984107864473314,-1.140803141180197
-0.00475929347826087,0.998072903752379,-1.141475757023312
-0.004758043478260869,0.9994244345321889,-1.140803141180197
-0.004756793478260869,1.000100199922093,-1.139457909493967
-0.004755543478260869,0.9984107864473314,-1.141475757023312
-0.004754293478260869,1.000100199922094,-1.140803141180196
-0.004753043478260869,1.001789613396856,-1.139457909493966
-0.004751793478260869,1.000100199922094,-1.139457909493966
-0.00475054347826087,1.002465378786761,-1.139121601572408
-0.004749293478260869,0.9997623172271413,-1.141139449101754
-0.00474804347826087,1.001113848006951,-1.140130525337081
-0.004746793478260869,0.9987486691422839,-1.14181206494487
-0.004745543478260869,0.9994244345321898,-1.141139449101754
-0.004744293478260869,1.001451730701904,-1.140466833258639
-0.004743043478260869,1.000100199922093,-1.141139449101755
-0.004741793478260869,0.9987486691422839,-1.143157296631101
-0.004740543478260869,0.9987486691422839,-1.142484680787985
-0.00473929347826087,0.9970592556675222,-1.144166220395773
-0.004738043478260869,0.9977350210574264,-1.144166220395774
-0.00473679347826087,0.9984107864473311,-1.144502528317332
-0.004735543478260869,0.996721372972569,-1.145175144160447
-0.004734293478260869,0.9963834902776162,-1.145511452082006
-0.004733043478260869,0.9957077248877115,-1.146856683768236
-0.004731793478260869,0.9930046633280917,-1.148538223376025
-0.00473054347826087,0.9933425460230442,-1.149547147140698
-0.004729293478260869,0.9916531325482817,-1.150556070905371
-0.00472804347826087,0.9909773671583771,-1.151564994670044
-0.004726793478260869,0.9909773671583768,-1.151901302591602
-0.00472554347826087,0.9882743055987582,-1.15492807388562
-0.004724293478260869,0.9872606575138995,-1.155264381807179
-0.004723043478260869,0.9859091267340899,-1.156945921414968
-0.004721793478260869,0.9865848921239945,-1.156945921414968
-0.004720543478260869,0.9835439478694221,-1.160645308552103
-0.00471929347826087,0.9798272382249449,-1.162326848159892
-0.004718043478260869,0.9798272382249449,-1.163335771924565
-0.00471679347826087,0.9788135901400878,-1.163672079846122
-0.004715543478260869,0.9774620593602775,-1.165689927375469
-0.004714293478260869,0.9744211151057047,-1.168380390747932
-0.004713043478260869,0.9734074670208477,-1.169725622434162
-0.004711793478260869,0.972393818935989,-1.170734546198836
-0.004710543478260869,0.9696907573763703,-1.172416085806624
-0.004709293478260869,0.9683392265965605,-1.17443393333597
-0.00470804347826087,0.9659740477318931,-1.178133320473105
-0.004706793478260869,0.9636088688672257,-1.178469628394663
-0.00470554347826087,0.961919455392464,-1.180823783845566
-0.004704293478260869,0.9595542765277959,-1.183850555139587
-0.004703043478260869,0.9565133322732232,-1.18654101851205
-0.004701793478260869,0.9558375668833187,-1.188222558119837
-0.004700543478260869,0.9514450918489354,-1.191249329413858
-0.004699293478260869,0.9494177956792215,-1.194276100707877
-0.004698043478260869,0.9473904995095066,-1.196630256158781
-0.00469679347826087,0.9453632033397925,-1.198648103688126
-0.004695543478260869,0.9426601417801718,-1.200665951217474
-0.00469429347826087,0.9406328456104578,-1.202683798746819
-0.004693043478260869,0.9372540186609321,-1.206046877962397
-0.004691793478260869,0.9342130744063584,-1.209073649256418
-0.004690543478260869,0.9311721301517875,-1.212100420550437
-0.004689293478260869,0.929482716677025,-1.213781960158225
