#Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg),Channel 2 Magnitude (dB)
10,-0.01047296165381971,-0.3049432974494266,0.01280326193687048
10.08553567677516,-0.01007655712102338,-0.307646281867477,0.01262704725530022
10.17180298875046,-0.01035861480623611,-0.3092974739328724,0.01271316455144
10.2588081940171,-0.01070230993002893,-0.3131727463089362,0.01299605189043732
10.34655760419528,-0.01045263472404127,-0.3165627357017584,0.01287213108556848
10.43505758489207,-0.01007329106881389,-0.3186208828105634,0.01250750496202779
10.52431455616322,-0.01008827582628097,-0.3202291067431098,0.01278758761078772
10.61433499297883,-0.009826469216540904,-0.3226659404041925,0.0125755623273878
10.7051254256931,-0.0101720129043146,-0.3255993442496541,0.01260626442190929
10.79669244051807,-0.01039309139061884,-0.3294777200022452,0.0127463355910836
10.88904268000136,-0.01025770290467844,-0.3323498703837782,0.01252817116712883
10.98218284350811,-0.0102171119588567,-0.3349413399826631,0.01280375820878956
11.07611968770691,-0.009931299805973733,-0.3378514742650829,0.01261420817436603
11.17086002705997,-0.009891116549684446,-0.3396760457846142,0.0126125846096939
11.26641073431748,-0.009923271983597437,-0.341731449479667,0.01276702317854901
11.36277874101617,-0.01017379838155444,-0.345658571185453,0.01279582351631049
11.45997103798209,-0.01034765744234208,-0.3493125396936989,0.01270756824212377
11.55799467583784,-0.01027035442129133,-0.3530490269846496,0.01258488622246958
11.65685676551398,-0.01050915357892989,-0.3545880986440864,0.01290889887637814
11.75656447876491,-0.01010032321868837,-0.3591549115079715,0.01274250136110196
11.85712504868912,-0.01041401328455418,-0.3611249589997954,0.01278653939342745
11.95854577025384,-0.01058463506910035,-0.3644243176750797,0.01284975288878183
12.06083400082438,-0.01048727454684747,-0.3665784154306664,0.0127756946501965
12.16399716069771,-0.01029893737490538,-0.371669764927077,0.01271300584150844
12.26804273364085,-0.01025762732046202,-0.3739079455927978,0.01285734736507191
12.3729782674337,-0.01040909464773149,-0.3769226762325104,0.0127967062908769
12.47881137441664,-0.01044314988530116,-0.3813475225931526,0.01273773250965518
12.58554973204266,-0.01052925911246879,-0.3835577811829296,0.01286193723569508
12.69320108343443,-0.01047390852677403,-0.3849523400792521,0.01277170596294989
12.8017732379459,-0.01047388078083437,-0.3915258830005826,0.01282584275592685
12.91127407172888,-0.01031531063692944,-0.3932226109679178,0.01275767893575529
13.02171152830437,-0.0103766904500783,-0.3962260428965578,0.01254049529238468
13.13309361913882,-0.010349108873141,-0.4000032133830445,0.01264804339511276
13.24542842422527,-0.01062021318816197,-0.4050523412265079,0.01271964668864293
13.35872409266958,-0.01001342309912994,-0.4071500114276034,0.01249691218800351
13.47298884328148,-0.01018689584298284,-0.4108151366435777,0.01245027456759193
13.5882309651709,-0.01038265319406333,-0.4136434513665819,0.01250227942972329
13.70445881834921,-0.009949717140745402,-0.4162442747602739,0.01248920397473668
13.8216808343357,-0.01002168021942601,-0.4206364988694204,0.01234257760915434
13.93990551676921,-0.010417000825075,-0.4237770507738219,0.01264069648784791
14.05914144202507,-0.01037590616093964,-0.4273060711138363,0.01262530734065643
14.1793972598372,-0.01054108911749167,-0.4318352466762292,0.01244795563178728
14.3006816939256,-0.01026916095739387,-0.4359128440195121,0.01250034091316736
14.42300354262921,-0.01032286080782954,-0.4391092146009044,0.01264627342839726
14.54637167954414,-0.0101076508187942,-0.443473460437346,0.01247891298065991
14.67079505416742,-0.01021808556160555,-0.4457261789117197,0.01235479082886124
14.7962826925462,-0.01032203501608279,-0.4515975669148702,0.01241661395910923
14.92284369793255,-0.01010306812862974,-0.4547451894629546,0.01230789645478252
15.0504872514438,-0.01027569396322631,-0.4571395123397082,0.01253430225792415
15.17922261272863,-0.01039208192913419,-0.4621191809967087,0.01255595613509411
15.30905912063868,-0.01007893379590774,-0.4652740006924745,0.01229422516341101
15.44000619390615,-0.01022034784662202,-0.4708300472686346,0.01257076427720935
15.57207333182699,-0.01030125711386668,-0.4747001291376236,0.0126511864761988
15.70527011495001,-0.01012230246787267,-0.4775491509352889,0.01259006313308476
15.8396062057719,-0.009994000650696513,-0.4815411508657093,0.01256630471413915
15.97509134943818,-0.01038804177418406,-0.4867477303216603,0.0126904587974915
16.1117353744501,-0.01015731678079301,-0.4903677179530597,0.01262228123000491
16.24954819337768,-0.01032445402942206,-0.4941743320497665,0.01283754710026184
16.38853980357879,-0.01062348055302567,-0.4982411571213419,0.01271455328505834
16.52872028792434,-0.01059688346745269,-0.5025272158818819,0.01245241980030649
16.67009981552986,-0.01038177406688444,-0.5076563518460375,0.01238806152023039
16.81268864249292,-0.01050573906960015,-0.5121682517337334,0.0123545641947643
16.9564971126375,-0.01056900297739415,-0.5166081054260445,0.01234223818908932
17.10153565826403,-0.01062914593471965,-0.5204155842193927,0.01238317997279645
17.24781480090645,-0.01074955775990193,-0.523723339068507,0.01247229538561291
17.39534515209525,-0.01059353611882132,-0.528952134121937,0.01245645995561163
17.54413741412747,-0.01048803602965192,-0.534015138948547,0.0123428088036098
17.69420238084283,-0.01048901738281295,-0.5376688669675573,0.01249170203406906
17.84555093840705,-0.01030913457712073,-0.542497897167431,0.01251025750326859
17.99819406610125,-0.01074584674784495,-0.5472773694246982,0.0126428789216864
18.15214283711872,-0.01076416684927316,-0.5515789618015816,0.0127615746235622
18.30740841936795,-0.01049238232684803,-0.555827868521078,0.01247079330784663
18.46400207628293,-0.0105632354272112,-0.5616123496755527,0.01244838867097771
18.62193516764021,-0.0101955469787582,-0.5681104394030001,0.01228698786429926
