#Digilent WaveForms Spectrum Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B3D979
#Date Time: 2023-03-10 14:58:25.727
#Trace: Trace 1
#Start: 0 Hz
#Stop: 5000 Hz
#BINs: 4097
#Rate: 10000 Hz
#Samples: 8192
#Channel: C1
#Type: Sample
#Window: Flat Top
#Trace: Trace 2
#Start: 0 Hz
#Stop: 5000 Hz
#BINs: 4097
#Rate: 10000 Hz
#Samples: 8192
#Channel: C2
#Type: Sample
#Window: Flat Top
#Channel: C1
#Range: 5.53587 V
#Offset: 3.25771e-05 V
#Attenuation: 1 X
#Channel: C2
#Range: 5.51007 V
#Offset: 0.000229542 V
#Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Lydsignal_106.wav
#Frequency: 44.1 kHz
#Period: 22.675737 us
#Amplitude: 1 V
#Offset: 0 V

#Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-52.91367308567091,0,-55.54293872617575,0
1.220703125,-53.69484974701814,0.6693270653109037,-55.95391078968124,2.880534490001367
2.44140625,-58.84828094994599,179.3968715151876,-58.80495677132717,7.132151026669766
3.662109375,-81.17450416764117,143.6490150625293,-63.884121818785,15.08684469935183
4.8828125,-72.91710554804895,1.24689647063809,-65.13543938949266,21.23660766287829
6.103515625,-82.10373299178806,66.37628462449563,-62.16431538722134,24.65381392143069
7.32421875,-64.4291055390555,177.3832527165328,-59.18182192764887,17.19439792718936
8.544921875,-57.30369928306095,170.6024220803126,-56.60508396035639,3.318739987101988
9.765625,-55.40994915142382,176.9077396189772,-55.04980222413833,3.15255511583852
10.986328125,-59.61476693377278,19.71964176151054,-56.7564092557982,23.12587802280327
12.20703125,-63.37030288015897,92.59637894404668,-59.67019519248711,62.820905578247
13.427734375,-59.03771116459194,109.9974975400774,-59.31562814171102,83.23269630920677
14.6484375,-57.69332672390046,105.4305629288636,-60.21645481405748,81.61447609959926
15.869140625,-60.45712409560146,87.17414361615337,-65.02954085355779,57.08747984945276
17.08984375,-58.84829734618616,46.02423655379408,-60.92707865403362,9.774921494999093
18.310546875,-56.57253949704561,35.43591674507539,-57.28524993835178,178.058128939241
19.53125,-57.69414368286816,24.66086872862282,-57.67821022763797,167.4491313380475
20.751953125,-58.31433079287783,11.800535611768,-59.48688018850955,162.8532140528261
21.97265625,-57.62308287075457,3.618587787482497,-59.87328551954154,154.7295224575751
23.193359375,-56.86411960111491,166.5932901987514,-58.7567683829344,137.6060357763658
24.4140625,-60.01664729291917,143.7431921790892,-62.26030764001013,112.2552815554803
25.634765625,-65.90536954180165,14.56562566811425,-67.18763130227329,3.94451260303508
26.85546875,-57.54330272391788,156.3265563596392,-62.06065486073831,132.3310050633641
28.076171875,-58.47439114146829,145.7850316834435,-63.67316654094494,123.2262255781877
29.296875,-64.68831446154526,121.9834872646513,-76.01390321771576,131.3215215501204
30.517578125,-66.28245963504506,11.00379199292129,-65.70713683244966,112.631352594319
31.73828125,-58.31483043823206,148.9585581964515,-58.0530453245416,98.50242023324769
