Frequency (Hz)	Level (dB)
13458.251953	-122.455910
13479.785156	-122.481010
13501.318359	-124.191284
13522.851562	-124.197563
13544.384766	-124.400299
13565.917969	-124.044464
13587.451172	-122.688637
13608.984375	-123.925400
13630.517578	-123.130394
13652.050781	-121.135490
13673.583984	-123.378174
13695.117188	-124.215225
13716.650391	-123.964813
13738.183594	-123.907860
13759.716797	-119.901794
13781.250000	-120.190300
13802.783203	-124.058105
13824.316406	-123.881607
13845.849609	-124.087204
13867.382812	-122.754936
13888.916016	-119.371063
13910.449219	-122.358650
13931.982422	-124.506485
13953.515625	-124.465805
13975.048828	-124.458122
13996.582031	-123.171822
14018.115234	-122.665924
14039.648438	-123.982773
14061.181641	-120.755798
14082.714844	-121.505096
14104.248047	-123.482315
14125.781250	-120.243507
14147.314453	-122.142586
14168.847656	-124.123894
14190.380859	-122.605881
14211.914062	-123.096184
14233.447266	-120.260651
14254.980469	-118.614708
14276.513672	-121.972824
14298.046875	-122.396309
14319.580078	-122.270660
14341.113281	-122.911446
14362.646484	-121.550362
14384.179688	-122.094704
14405.712891	-122.877945
14427.246094	-119.656082
14448.779297	-122.024208
14470.312500	-124.240982
14491.845703	-123.873146
14513.378906	-124.385681
14534.912109	-123.491859
14556.445312	-123.316772
14577.978516	-123.321289
14599.511719	-114.240578
14621.044922	-114.314278
14642.578125	-122.556664
14664.111328	-120.055061
14685.644531	-121.776299
14707.177734	-124.669670
14728.710938	-124.776062
14750.244141	-124.937294
14771.777344	-124.596870
14793.310547	-124.252014
14814.843750	-124.354065
14836.376953	-123.621330
14857.910156	-123.178619
14879.443359	-123.739677
14900.976562	-122.768311
14922.509766	-122.975426
14944.042969	-123.939323
14965.576172	-121.646233
14987.109375	-123.012436
15008.642578	-121.698738
15030.175781	-118.302681
15051.708984	-122.043175
15073.242188	-124.667099
15094.775391	-124.733749
15116.308594	-125.147758
15137.841797	-124.210587
15159.375000	-124.020317
15180.908203	-124.263367
15202.441406	-124.742813
15223.974609	-125.088226
15245.507812	-122.260674
15267.041016	-117.173805
15288.574219	-120.006485
15310.107422	-121.825127
15331.640625	-118.919968
15353.173828	-122.695633
15374.707031	-122.613937
15396.240234	-121.247551
15417.773438	-123.472298
15439.306641	-119.439957
15460.839844	-119.587593
15482.373047	-124.088089
15503.906250	-124.269638
15525.439453	-124.440071
15546.972656	-123.668571
15568.505859	-121.394264
15590.039062	-123.197601
15611.572266	-123.688469
15633.105469	-123.038811
15654.638672	-124.097641
15676.171875	-124.266159
15697.705078	-124.956062
15719.238281	-125.333557
15740.771484	-124.629440
15762.304688	-124.357162
15783.837891	-123.992676
15805.371094	-121.217018
15826.904297	-122.953430
15848.437500	-121.527107
15869.970703	-117.375992
15891.503906	-121.153900
15913.037109	-123.886612
15934.570312	-122.802971
15956.103516	-124.014854
15977.636719	-123.546021
15999.169922	-123.470917
16020.703125	-124.468185
16042.236328	-123.300186
16063.769531	-123.637138
16085.302734	-124.643387
16106.835938	-124.280602
16128.369141	-124.437935
16149.902344	-120.569801
16171.435547	-116.661713
16192.968750	-121.127777
16214.501953	-120.522331
16236.035156	-118.936470
16257.568359	-123.422119
16279.101562	-120.913910
16300.634766	-121.007324
16322.167969	-124.695297
16343.701172	-124.590279
16365.234375	-124.664658
16386.767578	-124.243195
16408.300781	-124.343498
16429.833984	-124.623329
16451.367188	-124.074364
16472.900391	-122.936531
16494.433594	-124.135300
16515.966797	-122.715828
16537.500000	-122.042206
16559.033203	-123.787102
16580.566406	-121.201012
16602.099609	-121.567986
16623.632812	-124.261902
16645.166016	-123.573936
16666.699219	-123.722588
16688.232422	-123.613441
16709.765625	-122.298225
16731.298828	-124.017662
16752.832031	-122.298538
16774.365234	-120.175537
16795.898438	-123.028427
16817.431641	-121.724998
16838.964844	-121.538589
16860.498047	-123.595314
16882.031250	-118.294571
16903.564453	-119.430923
16925.097656	-124.248970
16946.630859	-124.148308
16968.164062	-124.253853
16989.697266	-124.534088
17011.230469	-124.575684
17032.763672	-124.507782
17054.296875	-121.387207
17075.830078	-119.753876
17097.363281	-123.608582
17118.896484	-120.040421
17140.429688	-120.012482
17161.962891	-124.606537
17183.496094	-124.125877
17205.029297	-124.397820
17226.562500	-124.225258
17248.095703	-123.328194
17269.628906	-124.062782
17291.162109	-122.481155
17312.695312	-120.258636
17334.228516	-123.542976
17355.761719	-120.969917
17377.294922	-119.650520
17398.828125	-123.888412
17420.361328	-123.746872
17441.894531	-123.862679
17463.427734	-123.349800
17484.960938	-119.328178
17506.494141	-121.328751
17528.027344	-124.538757
17549.560547	-124.303207
17571.093750	-124.474396
17592.626953	-124.233223
17614.160156	-123.801300
17635.693359	-124.330132
17657.226562	-120.442513
17678.759766	-119.752151
17700.292969	-123.525116
17721.826172	-124.195244
17743.359375	-124.725128
17764.892578	-124.539902
17786.425781	-123.755630
17807.958984	-124.001358
17829.492188	-124.193649
17851.025391	-123.923920
17872.558594	-123.988731
17894.091797	-122.982765
17915.625000	-122.372543
17937.158203	-124.413162
17958.691406	-121.185631
17980.224609	-120.857910
18001.757812	-124.350182
18023.291016	-124.508018
18044.824219	-123.954163
18066.357422	-124.049393
18087.890625	-124.598328
18109.423828	-124.361443
18130.957031	-124.352882
18152.490234	-124.416077
18174.023438	-124.099159
18195.556641	-119.802071
18217.089844	-118.420288
18238.623047	-123.356720
18260.156250	-123.891129
18281.689453	-123.838509
18303.222656	-123.689018
18324.755859	-120.550262
18346.289062	-122.070297
18367.822266	-123.698479
18389.355469	-122.070778
18410.888672	-124.022354
18432.421875	-120.078590
18453.955078	-117.378891
18475.488281	-122.407219
18497.021484	-124.081139
18518.554688	-124.208092
18540.087891	-124.298882
18561.621094	-122.447121
18583.154297	-122.888329
18604.687500	-123.499649
18626.220703	-119.265778
18647.753906	-121.528938
18669.287109	-124.258415
18690.820312	-123.892555
18712.353516	-124.246574
18733.886719	-124.390762
18755.419922	-124.156509
18776.953125	-124.583824
18798.486328	-119.997871
18820.019531	-119.582703
18841.552734	-123.994041
18863.085938	-123.159698
18884.619141	-123.438408
18906.152344	-124.018661
18927.685547	-123.694519
18949.218750	-124.032654
18970.751953	-124.204903
18992.285156	-123.685890
19013.818359	-123.952286
19035.351562	-123.804176
19056.884766	-123.581802
19078.417969	-124.093452
19099.951172	-121.998077
19121.484375	-122.187950
19143.017578	-124.309883
19164.550781	-124.319160
19186.083984	-124.448372
19207.617188	-123.604088
19229.150391	-121.065895
19250.683594	-123.307068
19272.216797	-122.752518
19293.750000	-120.813194
19315.283203	-123.491714
19336.816406	-124.230171
19358.349609	-124.255569
19379.882812	-124.290207
19401.416016	-120.514526
19422.949219	-120.863800
19444.482422	-123.666000
19466.015625	-121.193481
19487.548828	-122.986420
19509.082031	-121.527336
19530.615234	-117.646873
19552.148438	-121.571678
19573.681641	-122.964714
19595.214844	-122.119247
19616.748047	-124.201202
19638.281250	-122.887436
19659.814453	-122.809486
19681.347656	-123.840828
19702.880859	-120.283371
19724.414062	-121.351280
19745.947266	-123.604904
19767.480469	-121.869095
19789.013672	-123.365303
19810.546875	-124.486282
19832.080078	-124.698135
19853.613281	-124.400871
19875.146484	-124.451508
19896.679688	-124.483284
19918.212891	-124.674736
19939.746094	-120.268822
19961.279297	-120.374603
19982.812500	-123.710159
20004.345703	-121.212425
20025.878906	-122.601387
20047.412109	-124.545876
20068.945312	-124.684845
20090.478516	-124.622467
20112.011719	-122.754021
20133.544922	-120.945259
20155.078125	-123.939285
20176.611328	-124.115181
20198.144531	-124.607208
20219.677734	-124.548241
20241.210938	-120.749176
20262.744141	-121.330460
20284.277344	-122.470322
20305.810547	-117.742424
20327.343750	-120.350471
20348.876953	-123.720688
20370.410156	-122.013313
20391.943359	-123.685135
20413.476562	-118.089867
20435.009766	-115.495232
20456.542969	-121.946594
20478.076172	-123.674026
20499.609375	-123.407707
20521.142578	-123.635895
20542.675781	-121.229370
20564.208984	-122.222832
20585.742188	-123.553444
20607.275391	-121.818932
20628.808594	-123.096741
20650.341797	-122.382423
20671.875000	-120.096207
20693.408203	-123.039795
20714.941406	-123.834869
20736.474609	-123.978386
20758.007812	-124.228081
20779.541016	-122.147568
20801.074219	-122.160858
20822.607422	-124.307030
20844.140625	-122.511902
20865.673828	-123.434113
20887.207031	-124.761978
20908.740234	-124.667892
20930.273438	-124.516914
20951.806641	-124.588310
20973.339844	-124.424622
20994.873047	-124.482727
21016.406250	-121.891830
21037.939453	-121.170891
21059.472656	-123.722343
21081.005859	-118.873558
21102.539062	-119.591347
21124.072266	-122.558563
21145.605469	-117.337410
21167.138672	-119.966087
21188.671875	-123.466980
21210.205078	-121.512337
21231.738281	-123.769089
21253.271484	-124.406555
21274.804688	-124.466370
21296.337891	-124.692963
21317.871094	-124.329109
21339.404297	-124.320633
21360.937500	-124.685150
21382.470703	-124.043442
21404.003906	-123.971725
21425.537109	-121.970024
21447.070312	-117.081947
21468.603516	-120.181915
21490.136719	-124.479576
21511.669922	-124.175735
21533.203125	-124.140297
21554.736328	-123.727219
21576.269531	-123.326859
21597.802734	-124.414749
21619.335938	-123.171654
21640.869141	-123.111618
21662.402344	-123.966835
21683.935547	-122.528557
21705.468750	-123.156593
21727.001953	-124.126984
21748.535156	-123.212631
21770.068359	-124.087891
21791.601562	-123.035835
21813.134766	-121.507957
21834.667969	-124.036079
21856.201172	-124.246651
21877.734375	-123.875534
21899.267578	-123.868362
21920.800781	-119.903938
21942.333984	-120.338898
21963.867188	-123.689766
21985.400391	-120.874710
22006.933594	-122.228317
22028.466797	-124.323677
