#Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,-30.30990497442774,180,-48.01766474538152,0
4.8828125,-30.73975699696735,1.37627314912021,-47.34201629376383,170.9588959315093
9.765625,-34.8493112448292,0.9262718400272444,-47.57311130449348,176.4951839562924
14.6484375,-49.97432941702027,1.396255087724265,-48.89670770250112,179.4617579573213
19.53125,-51.41648591947457,179.9823678610093,-49.84961083292221,1.095015447327496
24.4140625,-51.33247064180352,16.93330925035283,-51.25677695401322,19.3921854640409
29.296875,-52.63931942157291,42.77985018160673,-52.27441510831128,46.73980282130351
34.1796875,-54.29450268832072,56.44159408169411,-53.67140539283051,60.92370044983529
39.0625,-56.44735180378306,65.8293656211888,-55.64530889219783,70.04143189032358
43.9453125,-53.16133019442429,54.7661944805811,-52.72741558499891,57.7170636940364
48.828125,-46.96731615377925,13.38412411408098,-46.89248122598649,15.61304568026609
53.7109375,-42.35229077428365,175.2819607245267,-42.35766652856123,176.975633746277
58.59375,-41.36355179215593,178.0888652709509,-41.39947125985373,179.7709566173894
63.4765625,-41.53057532620786,3.717471376599121,-41.5901050823825,5.577282413968912
68.359375,-44.29872457350227,8.505175693930237,-44.40466202393679,10.57386940596619
73.2421875,-51.15112862543283,44.93457897291607,-51.26997489991381,47.98699411637424
78.125,-51.01965588550733,99.3458703334605,-50.99345451215292,102.0224829225551
83.0078125,-50.00817575864108,114.7596473535603,-49.99998880221981,117.3309416670223
87.890625,-49.86336930610573,113.2154056397423,-49.8509347923433,115.8277290107358
92.7734375,-47.51759897218453,100.5487485838791,-47.50833839463274,103.2133987015547
97.65625,-44.87036909777824,100.5076314129192,-44.86015771988404,103.3045137007834
102.5390625,-44.89836435724705,105.5593176711786,-44.90343738862791,108.3601123330861
107.421875,-46.32331299174894,99.45998474134927,-46.35962915401119,102.2459121061069
112.3046875,-47.44506835127564,76.44372629493375,-47.46148805585855,79.33568720883871
117.1875,-46.90094652130459,52.67087514604982,-46.89168958539416,55.89245784129414
122.0703125,-44.04608647881719,45.06046510492467,-44.04183037366126,48.54952605456546
126.953125,-41.27615601897404,46.31667801828306,-41.2592354792169,49.98611818405639
131.8359375,-40.62278852932987,49.48368529854883,-40.58225449453219,53.16638280967859
136.71875,-42.13037893731504,55.36723427304288,-42.08316772648857,58.94410700416963
141.6015625,-45.75609957198368,60.81967417307336,-45.70344556629785,64.39688258483834
146.484375,-54.01134380808685,47.39448989640869,-53.84306076508884,51.27550412299182
151.3671875,-56.95670262041575,139.9217582847173,-56.97652883687872,145.6716186963249
156.25,-53.75975973643085,128.2400512586644,-53.80995143974084,133.2518472974083
161.1328125,-53.0057349639161,140.6934480624654,-52.96935519150858,145.4781851841184
166.015625,-52.70676766254279,156.0424762961981,-52.57970206027668,160.6198823973259
170.8984375,-55.27937427454294,163.1781432566745,-55.08516751896472,167.6279320475608
175.78125,-61.18020487721053,138.1203398032012,-60.96132681557314,143.9815697884297
180.6640625,-58.03650190835809,96.61149207948677,-58.18730359630941,102.5887912249689
185.546875,-54.55336932068322,94.17720386337359,-54.71399588203419,99.85468233441712
190.4296875,-53.84578849398898,87.94995878509833,-53.99070856098332,93.64562600649943
195.3125,-53.57929759835873,76.03494964770876,-53.77612550883672,81.76524656186378
200.1953125,-52.52216712080423,73.09848569605047,-52.79282306334803,78.81045122369447
205.078125,-51.30059122263981,72.8734407256823,-51.57607688282057,78.31059507210753
209.9609375,-49.27582892343484,68.43409459206036,-49.4518743705227,73.62049107483833
214.84375,-46.51276805728345,68.96478793190362,-46.57494203061714,74.46904926934917
219.7265625,-44.30120955595984,78.01354192601629,-44.3046859774129,83.88986128969448
224.609375,-42.39792017363594,91.47698718629846,-42.38830208818194,97.70999400640439
229.4921875,-40.61832853189289,105.7247648805749,-40.61324753067866,112.35129922513
234.375,-39.22699104981965,123.0219635095552,-39.24442334018942,130.0064709253595
239.2578125,-39.1583346001284,142.5526475939471,-39.20581572410403,149.974953342984
244.140625,-41.54375025003394,172.1652380322563,-41.5901372188912,0.3701429550301534
249.0234375,-43.32302012450533,46.48266401377517,-43.19341374961876,55.26134056093756
253.90625,-41.50670867655027,94.83791261455657,-41.30426612850524,102.7428324786828
258.7890625,-40.45831488287757,129.0887695722392,-40.32560623483337,136.4983743657297
263.671875,-40.09954544333421,170.5565424557007,-40.05885327580234,177.9895474604596
268.5546875,-37.35795080853596,29.14128645518722,-37.32793028927981,36.98372425623236
273.4375,-34.95370916681936,49.79898850479848,-34.89673350656575,57.83610541176541
278.3203125,-33.99360287867579,60.63856213671195,-33.92120508482502,68.79601350767511
283.203125,-34.08864437222608,66.13802424119228,-34.00386224223426,74.4090839427641
288.0859375,-35.0876423690599,71.95931350378925,-34.98467066717779,80.3755100100967
292.96875,-37.01678039475751,81.40444653175535,-36.896972048422,89.89234227590838
297.8515625,-40.62670035497553,91.84299502199876,-40.49349060859733,100.1597950189
302.734375,-48.89088860400813,91.85131243922322,-48.66833995920123,99.5686790478839
307.6171875,-48.33229747330742,175.4170894344797,-48.15861272924615,5.419066566707047
312.5,-37.61081098940419,177.4049630462506,-37.52035519873574,6.86139652491997
317.3828125,-31.64061780878779,0.3740891968912787,-31.55856585080698,9.804018082847932
322.265625,-29.27590346727666,0.7708931210223673,-29.19269049947582,10.22787054588427
327.1484375,-29.34256902299496,5.026269427631432,-29.26049061941533,14.50531601885779
332.03125,-30.88449062919445,8.436797131628314,-30.80687950096994,17.92818301363984
336.9140625,-35.45607463752998,6.667382065976487,-35.38457478521763,16.12615019548209
341.796875,-45.65225281195316,23.39223106270376,-45.65624287281899,32.69574336592454
346.6796875,-51.26400051767617,97.81661208464028,-51.36383805240402,108.4433926448364
351.5625,-56.30794994181051,142.0937490370657,-56.69021422414676,153.7185633327358
356.4453125,-61.91261256312971,26.49450887864492,-62.42403043190932,46.37916777130037
361.328125,-67.92918532515434,114.4674849795185,-65.49708329039431,136.9445284650081
366.2109375,-65.82748747645992,1.206762623213095,-63.33111682695331,8.38397718641675
371.09375,-65.00650780999835,28.17477483976419,-63.4055851822707,31.49975283813625
375.9765625,-63.54148435514267,44.02306052803373,-63.04072505739345,51.0034348489982
380.859375,-60.33331250477448,66.24252408579082,-60.43937790185386,76.59975826667261
385.7421875,-57.14349380137048,91.37391298005402,-57.4862418185569,103.8167243671282
390.625,-54.93192660559704,117.155746188424,-55.14249846507353,130.3452425675316
395.5078125,-53.03578066122537,139.3538409444603,-53.08361571598491,151.7909763899995
400.390625,-51.59598160822931,154.2108074978506,-51.53288114967541,166.2059278572688
405.2734375,-51.04896835224699,166.0180001617678,-50.90026637981995,177.7421728677033
410.15625,-51.77385412385882,177.8488532305277,-51.59824949171367,9.613321048113507
415.0390625,-53.96908915935022,6.681260843509347,-53.70810362820555,19.29308097567185
419.921875,-56.89599784180366,9.378544174564645,-56.45477083228837,23.47302961213151
424.8046875,-59.74910506475087,16.90494803066346,-59.19082889041687,31.16994207298678
429.6875,-64.28703968888898,47.46827171503526,-63.75278695947459,59.57824284090418
434.5703125,-68.07447481902476,116.2118468288109,-68.17979944131702,130.0605585322198
439.453125,-67.50353216190908,1.285552617503359,-66.55323098529665,19.80208700796716
444.3359375,-65.51984783782598,45.30374169285201,-63.99547305949604,54.28973852012945
449.21875,-63.73741881122723,73.12957671908843,-63.05069311429239,74.41767717902546
454.1015625,-63.17186868303354,99.87447979616141,-63.53168445769734,100.8212471423276
458.984375,-62.96516909539348,151.7895197739766,-64.42885926200189,161.3647404802336
463.8671875,-57.79811830853411,18.97903426041958,-58.18337634756575,34.69902867970322
468.75,-53.67440277727339,38.18047814631937,-53.6776194954687,52.57991920936451
473.6328125,-51.59797395706293,47.92349517016601,-51.57474790874025,61.83154446783185
478.515625,-51.48632625994782,56.53456652380575,-51.51673549923176,70.64738641299149
483.3984375,-54.02351506792119,74.35608901870913,-54.18379269746826,88.85559745976795
488.28125,-58.06449047447985,122.5795825402268,-58.3483224236135,139.0621430503317
493.1640625,-57.70177167762079,179.8438651866408,-57.67169928512519,17.80384689872758
498.046875,-57.65121904422428,36.11170482073958,-57.39294319311466,53.98939818204305
502.9296875,-58.91358521999991,66.72737746114893,-58.59384933671738,84.31009871729411
507.8125,-60.79535629263366,95.53452077956906,-60.32555569817129,113.3662367761132
512.6953125,-62.07593624190874,121.8818297010301,-61.42710142785602,138.4678077302401
517.578125,-63.64604909467531,133.1107800596483,-62.83812612912627,149.5471726110422
522.4609375,-67.09660050100933,129.6878811475763,-65.78317106818668,147.5663936301217
527.34375,-70.63102644972071,120.980094417254,-69.41406645166579,142.5778590692169
532.2265625,-72.13570816699409,113.9410306349205,-72.16672266896906,139.8663935413378
537.109375,-70.31671331615195,108.3641067411535,-70.91112278902362,134.5180593876452
541.9921875,-66.29568958627304,127.4835884995155,-66.30155715671224,152.9210613058928
546.875,-61.98288425804832,168.9692920938196,-61.29352233497281,10.67602775791257
551.7578125,-56.82139088680479,30.22865136469221,-56.13038063375139,47.13689414886485
556.640625,-52.59652779788233,62.24892591743698,-52.20645508599596,77.70848741170732
561.5234375,-49.91477451796507,90.88894821490148,-49.76682695989177,106.8477554253681
566.40625,-49.14641386867448,117.158442651865,-49.09866494742542,134.1221722695985
571.2890625,-50.42710720041939,144.8335310265182,-50.34073781059119,162.6908160624051
576.171875,-53.19570967245153,175.3417503944524,-52.98850657206921,13.53709800040525
581.0546875,-58.66562045522254,26.19749737397011,-58.45853009782819,43.58091302621861
585.9375,-79.10504250229476,19.42392339507828,-79.58059473056775,8.254305123416662
590.8203125,-61.05737784842263,105.5857043720679,-60.15414035200602,122.337197179208
595.703125,-57.29479252761852,136.8977471709333,-56.91728393123525,153.0824149265069
600.5859375,-58.00544706787434,4.685821850037662,-58.03181051435368,22.68790516978816
605.46875,-56.76016824899005,71.07870655442686,-56.4105356119456,90.95072100530275
610.3515625,-53.9350408148207,119.6303267242898,-53.46012042351405,137.995761659751
615.234375,-52.86534280366013,159.1515990091392,-52.47034596144044,176.7467318968084
620.1171875,-54.09961084570133,24.13616342798744,-53.94273013134327,41.61776274468926
625,-55.18540285993104,88.22148447478692,-55.19667907192846,108.0009362829471
629.8828125,-55.00028208304415,147.6708768840908,-54.78035664979189,168.5246658883847
634.765625,-53.85476516909922,43.99076668260849,-53.47806908410995,63.72726900933317
639.6484375,-47.26371841085152,89.45754386200723,-46.96349159925643,108.992393312949
644.53125,-43.21512400365342,104.0325625627466,-42.9321060848352,123.8369316909254
649.4140625,-41.69972038223372,109.3090301567712,-41.42725443828763,129.2685354933907
654.296875,-42.41166359727139,109.5931695391536,-42.13595112188126,129.5733060030651
659.1796875,-45.45750791964043,106.2271248060561,-45.1652551527478,126.1120374461348
664.0625,-51.12122595728561,97.20374062848221,-50.79815720740812,116.5695849772448
668.9453125,-61.6110646403485,71.41930080622403,-60.97093214509982,88.31015696329308
673.828125,-71.06448707996462,124.4682584959842,-69.7106071401721,156.7525410920665
678.7109375,-76.07000765919855,87.38078984735529,-75.22212602320484,138.1724722699429
683.59375,-72.02587175758347,96.1014372618677,-71.39402228226314,96.40012599847344
688.4765625,-65.25202076044063,118.7439013239561,-65.53033572259903,131.2736859621792
693.359375,-61.51476177260726,140.6075442971437,-61.84745098370571,159.0075550072288
698.2421875,-57.94250055879262,145.3730101097733,-57.88623794106229,166.5676876378406
703.125,-54.95786669922534,134.9230919979814,-54.6519395490991,156.6422511326757
708.0078125,-52.76912664299988,122.2354183413806,-52.39028850114443,143.8985503537194
712.890625,-51.43758387349478,111.3094585664652,-51.01155231958052,132.8849051497609
717.7734375,-51.56331411300187,101.4210275928005,-51.08422121551521,122.9105060048162
722.65625,-53.72901669757718,92.87140303568204,-53.2412127863784,114.0494236971802
727.5390625,-58.21567837255657,85.08834756908968,-57.75093843690917,105.4260674995761
732.421875,-65.87639910097866,75.7678972830802,-65.54395712329382,93.83325967839269
737.3046875,-85.78656481831116,50.39310630925328,-84.74298935568657,37.34529205333465
742.1875,-73.3123760869093,69.52710148412882,-72.95806097507725,96.49208507124196
747.0703125,-68.91839390851509,67.01197209800684,-69.11478444352881,90.45826498847073
751.953125,-68.47235965868225,69.49186391025435,-68.56568278528114,90.70836890406729
756.8359375,-70.13511616496233,80.71664502619409,-70.32738451733154,99.54717848780555
761.71875,-74.18180376464427,112.2760986128878,-74.97915683218291,128.1231321213922
766.6015625,-74.85446857359231,172.7183880783858,-76.54027613355404,14.61974660418232
771.484375,-72.23908901334609,8.741088186709264,-72.91789176214432,40.85542223823285
776.3671875,-69.78060291574816,8.589568988721135,-69.89508549949454,47.50821238898494
781.25,-67.8357952659352,15.62028487402073,-67.92962513432246,54.67453459097018
786.1328125,-68.25712864749886,31.21315957136027,-68.1042439272519,72.80191115870122
791.015625,-70.01673926497348,59.96956928975744,-68.77089494296408,104.0513835976061
795.8984375,-69.5888241681613,91.62863586599339,-68.27190413975892,129.1601225658144
800.78125,-66.76758096669498,106.1192915020045,-66.47256918919869,138.1479034995404
805.6640625,-64.55537591721972,115.3402694242076,-64.60154658132726,146.475734316344
810.546875,-64.27570366874149,128.9570066867666,-64.28325611126722,163.3964062784024
815.4296875,-66.68873688286675,143.1625780282113,-66.32216176837949,5.204058672588461
820.3125,-76.20022750480899,172.0815620793208,-71.61737553534694,51.31556795655994
825.1953125,-71.75710122183925,134.5095661366992,-69.61141609886207,136.814897308534
830.078125,-68.86083481890732,175.3186089034835,-69.36578299746881,8.32434793868296
